transaction_id,timestamp,user_id,amount,device_id,location,time_gap,typing_speed,is_fraud
5371a633-bba,2026-01-11 15:40:37.238588,f5d21783,670.9,17c3b3e9-8,Berlin,1634,74,0
4412935b-752,2026-01-11 15:53:24.238588,3bff09f9,871.82,77c37b5a-7,New York,266,64,1
320363fe-7d7,2026-01-11 15:56:23.238588,0aa778ca,589.75,439fc9c8-2,Singapore,2539,71,0
c1814595-7c5,2026-01-11 15:56:57.238588,3e46e187,671.39,115b90a5-6,Berlin,2563,72,0
cc6eed73-7bb,2026-01-11 15:57:21.238588,271fd577,295.36,bd0603cd-9,San Francisco,2363,189,1
6af97976-c7c,2026-01-11 15:57:30.238588,5cbe7536,602.91,8f55a2a4-4,Tokyo,1914,45,0
18bf97c1-39b,2026-01-11 16:02:58.238588,d0e53312,727.06,f5849291-2,Berlin,3262,139,1
1d49e29a-62b,2026-01-11 16:06:06.238588,22de8d9f,1535.58,6fb1daa1-c,Sydney,2536,74,0
99ffbc10-b7c,2026-01-11 16:09:51.238588,b2d6602f,22.36,a3b86363-6,London,1512,60,0
5a276326-c0c,2026-01-11 16:11:36.238588,fb8d661f,132.93,624145b0-8,Mumbai,5,60,0
64dd1209-aed,2026-01-11 16:13:42.238588,58be9404,542.76,ade69fd5-2,New York,483,79,0
c8741a86-1a4,2026-01-11 16:17:08.238588,1a79ec40,986.64,2fffb6f8-5,Berlin,576,57,0
b2d316b5-f86,2026-01-11 16:23:03.238588,5d25f792,385.89,ac370fa1-7,London,152,56,0
9ef04bd0-99b,2026-01-11 16:23:56.238588,f379c65b,605.54,13929abb-9,New York,2315,66,0
128fe2fa-ec9,2026-01-11 16:27:49.238588,28179050,87.64,b17b9984-e,Singapore,2290,63,0
25fba650-088,2026-01-11 16:28:17.238588,61ebd37d,356.47,dc622917-3,Sydney,1134,63,0
dab046cb-957,2026-01-11 16:32:16.238588,86875da4,1818.17,b58a82f1-d,Mumbai,1385,48,0
90504073-67e,2026-01-11 16:39:42.238588,143efc7e,993.68,7ae7ea86-f,San Francisco,613,54,0
a43f09b5-93a,2026-01-11 16:45:58.238588,1589c4fb,962.89,1e7cf7fa-c,Sydney,2742,65,0
325605dc-503,2026-01-11 16:49:29.238588,f05d64d1,529.61,3e4809d7-a,Berlin,2170,59,0
4f70b553-c49,2026-01-11 16:52:10.238588,7450ac6a,846.54,efa1fc66-6,Sydney,1231,67,0
b1356209-da8,2026-01-11 16:57:27.238588,aa3bf3a5,718.56,ee34aaf6-c,Mumbai,1439,66,0
20b191f7-ec1,2026-01-11 17:01:20.238588,6865a4c6,129.67,ac933b5f-f,London,2920,72,0
9a7e3f3d-cb4,2026-01-11 17:03:11.238588,d868436e,131.48,61142af3-e,Tokyo,52,72,0
dac9c847-e32,2026-01-11 17:05:58.238588,456d98a2,550.21,23d221e5-7,London,936,44,0
615c9e49-1c9,2026-01-11 17:13:41.238588,ab5e3ac6,949.44,0bb5ac55-0,Sydney,1647,60,0
033238c8-5ad,2026-01-11 17:14:57.238588,13ec479e,412.99,766afca2-4,Berlin,3538,152,1
7a400c77-367,2026-01-11 17:14:58.238588,09f770b4,7651.47,2072ac20-7,Sydney,23,49,1
3a4ef96d-4c3,2026-01-11 17:22:12.238588,20f9cde7,6378.91,5be5bb4f-6,Berlin,5,44,1
4dd57e71-db4,2026-01-11 17:26:45.238588,70740a88,850.77,e16b16c6-5,Mumbai,1072,58,1
26fcfa84-632,2026-01-11 17:32:12.238588,f592db00,462.32,3c5a8200-a,Tokyo,2646,42,0
2739ac80-aef,2026-01-11 17:34:33.238588,2b26c10a,600.14,35ae875e-9,Sydney,2768,78,0
5ce361cf-c99,2026-01-11 17:38:43.238588,1a3ca231,249.53,0ed9dfe0-6,San Francisco,2441,64,0
f080becd-75a,2026-01-11 17:39:19.238588,755fb117,7120.25,3b51ae71-e,Sydney,3,75,1
c7d80365-b39,2026-01-11 17:51:01.238588,7bd0a2a4,394.77,bbb6224a-a,London,1339,76,0
4b038cea-b9c,2026-01-11 17:55:06.238588,04d3f070,291.29,1c0a6be8-2,Tokyo,1570,68,0
2e44b39b-bc9,2026-01-11 18:04:34.238588,6947e0a5,189.25,681aec24-1,London,1293,77,0
0e53fb40-08b,2026-01-11 18:06:20.238588,b885f1dd,712.85,a3d9a690-d,London,1766,50,0
c24cdc86-08e,2026-01-11 18:07:09.238588,d827ced9,743.75,19fdc95e-6,Singapore,971,74,0
da3541b2-ddf,2026-01-11 18:08:56.238588,dd7490ab,804.18,dde19bf0-2,Tokyo,1034,80,0
ab8942a3-ea8,2026-01-11 18:12:12.238588,98d605ca,882.91,e7b46c6a-7,San Francisco,2497,52,0
ad960819-4c7,2026-01-11 18:22:31.238588,a716f98c,114.57,b11e91a7-4,London,345,61,0
73322a6d-ac4,2026-01-11 18:22:52.238588,445fdb89,222.21,1f3c2869-8,New York,3362,44,0
2999bad1-688,2026-01-11 18:24:11.238588,3e197c7f,540.82,e0484f46-d,Sydney,1514,57,0
37992399-bfb,2026-01-11 18:24:12.238588,50d8edb1,142.1,48a011b5-8,Tokyo,2513,141,1
3a27b736-aa9,2026-01-11 18:30:02.238588,e02dfaaa,2248.85,7cb9c7b7-6,Mumbai,1234,65,0
3eaecaee-ad6,2026-01-11 18:32:03.238588,fb5a5ebb,1057.95,9ad66e19-e,San Francisco,3061,73,0
a287b100-eee,2026-01-11 18:38:27.238588,7e6d2ae0,798.84,e932da8d-d,New York,1564,66,0
6be00421-3f4,2026-01-11 18:38:34.238588,cf658af5,315.67,0fb38c92-1,Berlin,2801,58,0
98259f7a-c5a,2026-01-11 18:39:17.238588,2d1e20bb,80.63,55d2a0be-f,Sydney,1521,78,0
6506531b-976,2026-01-11 18:49:53.238588,36fe22d6,797.91,2f8d05cc-4,London,2992,70,0
b4584af4-9e9,2026-01-11 18:50:44.238588,59862b09,279.11,64ab8072-a,San Francisco,3417,51,0
aa55cef0-570,2026-01-11 18:55:11.238588,655dfafc,1711.46,f435e671-f,New York,347,80,0
d9b60132-6b0,2026-01-11 18:55:59.238588,01e04cad,919.04,11339308-c,New York,3306,68,1
edb26916-3a5,2026-01-11 19:00:14.238588,5c7d0672,580.05,5b825f35-2,San Francisco,1591,78,0
b43dd679-43f,2026-01-11 19:03:24.238588,6e0b0ed9,864.02,875d2525-b,New York,1715,65,0
0e740fc7-7d7,2026-01-11 19:14:26.238588,d0e53312,191.5,8186cd1f-7,Mumbai,95,70,0
482a8973-686,2026-01-11 19:15:40.238588,11963f3d,212.8,872d8a70-4,Berlin,3466,66,0
eca0edb2-073,2026-01-11 19:18:25.238588,0ce6375b,871.94,7f09fdc8-a,San Francisco,2289,53,0
95192cfe-615,2026-01-11 19:19:09.238588,da2e88bd,475.58,c0cc2b3e-d,Berlin,1573,64,0
420d20a0-17b,2026-01-11 19:20:01.238588,e37a2e5f,752.76,9f558b95-3,Mumbai,3108,187,1
cfaf3172-e41,2026-01-11 19:24:07.238588,79c07859,367.81,555156e8-b,Singapore,3245,78,0
9286bab7-935,2026-01-11 19:29:14.238588,4b257581,154.01,ecba117c-c,Mumbai,2329,47,0
13eb61de-953,2026-01-11 19:34:42.238588,4d2df78c,788.27,123055df-d,Tokyo,585,65,0
0a2fbefc-996,2026-01-11 19:39:36.238588,3a2b821d,268.03,51415b8f-7,Tokyo,938,66,0
acf5923c-b1c,2026-01-11 19:41:14.238588,2c9a7e4c,909.32,7d45275f-d,Sydney,243,69,0
703f3054-3fd,2026-01-11 19:48:38.238588,34bd9ee2,546.41,25c17134-a,Berlin,1276,69,0
d477f187-90f,2026-01-11 19:50:29.238588,bda96ab4,228.85,8e761b1a-7,Tokyo,2685,67,0
aa89183f-d17,2026-01-11 19:51:43.238588,1061d555,918.43,1c908f45-c,Berlin,3293,80,0
61d15f5f-cc8,2026-01-11 19:57:27.238588,e7a0be72,2172.08,6d45949f-a,New York,1961,73,0
9679a68e-fbc,2026-01-11 19:58:21.238588,82f56d0b,932.97,1030e373-e,Berlin,437,60,0
8f65dfe8-fb5,2026-01-11 20:14:05.238588,b8f6cfb1,146.61,4c5352af-0,San Francisco,2572,64,0
845a59a5-e31,2026-01-11 20:14:09.238588,819d6431,2879.31,f91cc543-3,Mumbai,2516,55,0
c5f20406-112,2026-01-11 20:16:32.238588,b0afb241,69.12,1b43a5b5-8,London,348,46,0
5e89c2d0-ded,2026-01-11 20:19:54.238588,79c07859,739.51,555156e8-b,Berlin,1323,75,0
30e48679-cc0,2026-01-11 20:21:49.238588,091fb42d,936.43,19e28c04-1,San Francisco,1492,80,0
3ab7b62d-b49,2026-01-11 20:22:20.238588,d79533d9,171.4,1cd45308-9,London,3069,52,0
e5c2e8a0-1a8,2026-01-11 20:29:00.238588,e9a353f2,2123.79,d4f9ae20-5,Tokyo,363,76,0
44bd091a-722,2026-01-11 20:29:54.238588,cda3e5fe,512.84,7555d5a7-d,Sydney,1986,43,0
7cf21040-737,2026-01-11 20:30:46.238588,d827ced9,639.83,19fdc95e-6,London,1709,67,0
ea436c9b-097,2026-01-11 20:52:24.238588,2b10a70e,967.81,e339184a-8,Sydney,2437,62,1
c5acacb2-d85,2026-01-11 20:57:14.238588,4b700473,81.15,ad3e12b2-5,New York,2789,41,0
397e47e3-549,2026-01-11 21:00:58.238588,fa948ada,663.67,f64a26ed-1,Tokyo,3076,58,0
f155fe82-a6b,2026-01-11 21:11:08.238588,1a114cbb,368.38,7f959481-8,Singapore,174,60,0
8a0eff44-8dc,2026-01-11 21:17:19.238588,e4be1df0,321.26,08fc8cc1-f,Sydney,596,59,0
a16cf652-fee,2026-01-11 21:18:41.238588,25d24a19,875.69,1b638772-7,Sydney,1973,56,0
766c1005-24e,2026-01-11 21:19:27.238588,cd982516,190.63,45017159-8,Berlin,2567,47,0
fa4b5a12-626,2026-01-11 21:28:29.238588,c818650c,301.88,63f65a99-d,Berlin,3592,78,0
ccb32d65-575,2026-01-11 21:31:11.238588,2b10a70e,1927.57,86d4e3bb-6,San Francisco,2569,66,0
a043b668-f2e,2026-01-11 21:33:18.238588,1c5a68e9,240.82,663b62a4-e,Berlin,662,44,0
6f70c5a0-270,2026-01-11 21:35:58.238588,aa4a77fa,1187.61,2bd58474-7,Tokyo,1716,54,0
f8a85a07-c91,2026-01-11 21:40:07.238588,db942ec7,814.14,0cfd100a-e,London,3522,69,0
5dd5c9aa-626,2026-01-11 21:53:21.238588,c6a92d38,208.51,e0059c2d-9,Tokyo,1070,66,0
d7e7582d-dbd,2026-01-11 22:01:51.238588,761b6372,6357.67,58c3b102-7,San Francisco,30,50,1
6b246f76-557,2026-01-11 22:09:02.238588,c7d5b6c8,994.48,4f7b3506-d,Berlin,2240,68,0
3d048284-a1e,2026-01-11 22:14:38.238588,b885f1dd,791.39,a3d9a690-d,Mumbai,2815,63,0
b793b56f-3c4,2026-01-11 22:21:36.238588,71358db4,1315.58,003ab52c-7,London,219,73,0
e449b016-50d,2026-01-11 22:26:53.238588,d2123418,210.14,a8ff1593-4,Sydney,449,54,0
d39942cd-8f7,2026-01-11 22:27:25.238588,fa68b65c,1191.0,71e6a878-e,Sydney,226,51,0
834b3561-82d,2026-01-11 22:29:37.238588,a8fb8fe6,547.9,531e520d-5,New York,2487,46,0
c95f73cc-aa7,2026-01-11 22:35:56.238588,2c99d828,410.88,9fb642e8-0,New York,3193,71,0
ccd6544a-a36,2026-01-11 22:45:41.238588,25d24a19,862.54,1b638772-7,Singapore,2626,49,0
582a8567-f9e,2026-01-11 22:46:58.238588,6e1694ec,1898.94,98e003cd-c,Tokyo,2653,63,0
9a6f508e-d5f,2026-01-11 22:47:08.238588,136b6ae8,395.48,5ec63acf-9,New York,1610,70,0
5bc720d6-88a,2026-01-11 22:47:12.238588,90a13e36,311.93,0edece40-5,Berlin,923,79,0
7397db57-180,2026-01-11 22:47:20.238588,bfd4afbe,444.85,ec5e2e33-f,Singapore,1983,53,0
4855147d-521,2026-01-11 22:55:51.238588,fac6850c,50.5,8470a941-8,Sydney,1204,65,0
bb178696-6ea,2026-01-11 22:57:50.238588,a95d8cb9,661.17,612e7219-3,New York,1337,67,0
c32b7dff-b40,2026-01-11 23:05:57.238588,93d00de0,220.22,5eacc8a9-1,Singapore,2327,60,0
857e76d6-a44,2026-01-11 23:15:21.238588,3f7237b9,422.25,05699dd4-3,Sydney,1658,76,0
09cc607f-841,2026-01-11 23:17:26.238588,4d2df78c,808.31,123055df-d,Berlin,1684,75,0
c0fd9065-3c5,2026-01-11 23:18:48.238588,d614157f,501.59,28d20d13-d,Mumbai,3108,65,0
d4c563f9-82f,2026-01-11 23:23:13.238588,cc3761c3,610.07,068be39f-2,New York,3423,63,0
180baf27-ba8,2026-01-11 23:23:48.238588,eafc5537,239.41,1b66b402-2,Sydney,2660,61,0
eac72f43-82d,2026-01-11 23:28:52.238588,de306872,844.4,0d119bb9-2,London,2283,41,0
9880c6e0-635,2026-01-11 23:29:00.238588,9a6a0f17,896.33,e9c457e1-a,San Francisco,2996,59,0
2af70a84-25f,2026-01-11 23:31:03.238588,dd9d1c93,356.53,4aeacbaf-f,Mumbai,2979,103,1
fc9ff3b8-f2f,2026-01-11 23:31:13.238588,7deda983,424.63,c1d183f7-2,Tokyo,2428,62,0
774a952f-a8e,2026-01-11 23:34:25.238588,42b160d7,2685.43,f6333ffa-0,Mumbai,1342,70,0
93eb017d-0bc,2026-01-11 23:34:32.238588,bf6264c2,270.17,f9128af9-2,New York,2630,62,0
76d9b5fe-a22,2026-01-11 23:40:58.238588,559d7afa,602.05,d596d38e-9,Mumbai,138,56,0
04494a06-ea4,2026-01-11 23:48:49.238588,e12819d3,62.16,2c8f9799-f,New York,2326,45,0
cfe02a8b-147,2026-01-11 23:52:13.238588,0f29d097,514.13,0b630fba-e,Mumbai,777,64,0
188c1396-aca,2026-01-11 23:58:03.238588,2c9a7e4c,215.26,7d45275f-d,New York,834,54,0
fa2e50e4-592,2026-01-11 23:58:09.238588,9bfc1722,950.54,8bb4fd00-e,Tokyo,1900,60,0
2eb620c1-a45,2026-01-12 00:00:38.238588,04cddadf,649.38,7151d908-5,Sydney,2442,69,0
ac655a42-bac,2026-01-12 00:06:54.238588,f9619866,920.6,24aef3c2-f,San Francisco,380,60,0
fc69fb14-442,2026-01-12 00:11:19.238588,fa68b65c,642.8,71e6a878-e,San Francisco,575,41,0
4643fe4e-2f3,2026-01-12 00:19:43.238588,c702640d,56.76,60e232a4-d,Sydney,2710,54,0
c019d530-dbd,2026-01-12 00:27:17.238588,8937092d,838.17,466e5947-3,Sydney,3128,58,0
0356139b-db2,2026-01-12 00:32:07.238588,04d3f070,507.39,1c0a6be8-2,Mumbai,210,70,0
7957993d-cbc,2026-01-12 00:35:53.238588,17e5e3b0,311.0,d21257c4-3,San Francisco,3477,59,0
f87f58a6-910,2026-01-12 00:36:48.238588,69214b2e,405.78,c30af307-7,Sydney,1599,61,0
35ce8396-652,2026-01-12 00:39:55.238588,d2ca6e60,236.1,a9fc4e80-d,New York,446,54,0
08c066fb-ee5,2026-01-12 00:43:07.238588,6d6468b2,188.89,6d5d17cf-c,San Francisco,2959,41,0
d00c5414-449,2026-01-12 00:43:26.238588,dfb13409,713.72,036c21a1-1,London,949,69,0
aa0d64ab-8af,2026-01-12 00:43:49.238588,955f1307,164.39,c1bd7dde-d,New York,2059,74,0
62139c9f-3a3,2026-01-12 00:43:58.238588,ea13aca7,849.61,2ff3f855-1,San Francisco,876,45,0
49568b95-4bc,2026-01-12 00:46:05.238588,bb3be0b6,359.85,1e9349b1-5,Sydney,2113,69,0
2e7db363-536,2026-01-12 00:51:20.238588,3f9d12a2,564.55,7086a555-4,Mumbai,1641,72,0
a512ca3f-15e,2026-01-12 00:51:28.238588,4a8e36e6,491.42,9d2eb814-8,Tokyo,1898,48,0
667a3276-09f,2026-01-12 00:56:47.238588,b3a08ec0,143.07,c93c2da2-9,San Francisco,168,50,0
5b9d90b2-4df,2026-01-12 01:01:23.238588,efd54232,187.26,e00f48f4-d,Sydney,642,41,0
8dcbfa84-7c3,2026-01-12 01:02:52.238588,240541c9,871.2,12fd477b-5,Tokyo,1780,61,0
4d78b8f4-abd,2026-01-12 01:05:12.238588,f9c4cf40,689.58,246caf9a-2,Mumbai,144,72,0
6aabc14d-6b4,2026-01-12 01:05:16.238588,58be9404,432.26,ade69fd5-2,Tokyo,2497,76,0
bb91b3a5-5a4,2026-01-12 01:07:37.238588,ace68adb,587.24,ff6ee9ca-c,Sydney,617,50,1
5ec042b7-7c9,2026-01-12 01:07:54.238588,51032987,21.75,eff1ed1a-6,New York,84,73,0
79c6e74d-895,2026-01-12 01:08:36.238588,44599574,226.87,1d221633-7,Mumbai,3009,41,0
84f63bc8-439,2026-01-12 01:08:42.238588,fce5a6b7,2104.78,8d2d8de8-1,Singapore,17,61,0
bf4fa272-3d1,2026-01-12 01:16:04.238588,c1d4e513,144.24,fa1a9237-d,Tokyo,1749,46,0
caed0cf7-64c,2026-01-12 01:16:31.238588,f820b936,428.77,02530ad0-6,Mumbai,85,46,0
c8061844-18f,2026-01-12 01:16:57.238588,90116b78,982.55,bcc88537-7,Tokyo,2801,43,0
c7f017af-810,2026-01-12 01:27:47.238588,1c1a2e69,314.96,347cadb0-9,Singapore,283,58,0
bb11c3f1-17a,2026-01-12 01:39:23.238588,34ad848f,2418.63,1e93c827-f,Mumbai,1555,48,0
efe89523-0c8,2026-01-12 01:41:35.238588,61d97aba,886.16,4a1f29f1-0,Sydney,924,79,0
dafdfbb8-b28,2026-01-12 01:46:11.238588,b6bcfc87,313.33,dfa8fc5c-a,Berlin,814,79,0
4fa87bb3-314,2026-01-12 01:57:15.238588,8f80a725,897.17,e074cedf-9,Singapore,1422,58,0
8a7dd4df-401,2026-01-12 02:01:53.238588,f56c9b47,902.79,9e045cf7-6,Mumbai,3076,62,0
8236a71d-4b9,2026-01-12 02:04:59.238588,f820b936,273.7,02530ad0-6,Sydney,2669,47,0
b7245273-7a8,2026-01-12 02:06:23.238588,037ad6c5,979.19,58c2401f-b,Tokyo,1104,42,0
b248b304-aca,2026-01-12 02:13:52.238588,271fd577,2901.01,e52719f0-1,Singapore,946,69,0
c59064df-77c,2026-01-12 02:15:10.238588,d0c7c182,765.75,d1cde478-4,Sydney,163,41,0
f7d3a3a4-31e,2026-01-12 02:15:44.238588,ed0bbc0b,279.37,1831e96f-d,Sydney,1040,48,0
86db27a9-a45,2026-01-12 02:21:01.238588,3431e74a,871.45,bccf1f5c-f,Berlin,2834,79,0
ae3d590c-ae1,2026-01-12 02:23:46.238588,e0e59ffc,68.98,0a967eed-7,Singapore,2401,47,0
e3877e6c-e37,2026-01-12 02:23:52.238588,8e70ffae,570.04,14f13641-a,Mumbai,1121,53,0
5cb939be-176,2026-01-12 02:29:53.238588,876819e5,919.0,3d57e017-b,San Francisco,2086,44,0
a497478a-1de,2026-01-12 02:35:01.238588,fa63af3c,908.98,ad5dba9c-1,Sydney,3380,79,0
1316d2ff-46f,2026-01-12 02:35:49.238588,fce1d4c5,46.35,8226023b-c,San Francisco,286,80,0
7c1b49f9-d03,2026-01-12 02:38:37.238588,271fd577,722.24,e52719f0-1,Sydney,617,46,0
b6420fc4-ac7,2026-01-12 02:43:28.238588,35c245d5,434.41,a3c1e95b-e,New York,2212,45,0
9579f4a4-cea,2026-01-12 02:55:33.238588,bd87e534,682.55,e3878c16-a,Mumbai,2463,79,0
dd75e19c-b34,2026-01-12 03:02:42.238588,4e27af8f,660.62,c973c164-7,Berlin,3014,51,0
0fe1e054-061,2026-01-12 03:03:51.238588,3f0456f1,84.4,6440925e-c,New York,1545,61,1
434680bc-bea,2026-01-12 03:06:06.238588,87feea70,463.31,6344101c-3,Tokyo,2195,57,0
504c974a-88a,2026-01-12 03:18:01.238588,0bc03a04,296.22,b9bc1cc1-c,London,1527,77,0
a66e2866-66e,2026-01-12 03:18:32.238588,f6eb6099,786.33,26184d00-9,Mumbai,2008,75,0
54181d78-a1e,2026-01-12 03:21:16.238588,3be8cf2d,79.09,85fc3413-0,Berlin,2480,62,0
a90c4415-d0d,2026-01-12 03:21:59.238588,20624688,911.16,23cbb6e9-0,Sydney,234,78,0
6916f712-ada,2026-01-12 03:22:49.238588,bd87e534,430.22,e3878c16-a,Sydney,1531,54,0
f6acfdd9-1a1,2026-01-12 03:25:23.238588,43035c37,138.32,fbf734d4-a,Mumbai,2480,76,0
d88a3d1a-237,2026-01-12 03:29:48.238588,31b2961b,436.04,004a404e-9,Sydney,3415,57,0
82ea873e-d3e,2026-01-12 03:30:33.238588,60b97c8a,796.23,a93b13ac-6,Berlin,845,41,0
d0adb65e-680,2026-01-12 03:31:20.238588,8e9bec22,650.51,7708ad4a-e,Mumbai,2780,44,0
0d3f026a-689,2026-01-12 03:31:28.238588,4bcb30ed,275.74,8dfe2b1b-2,Singapore,3503,62,0
c67332ad-8d4,2026-01-12 03:32:11.238588,3e66f294,1903.48,1910f357-a,Mumbai,167,64,0
8f52ed2c-809,2026-01-12 03:33:06.238588,84d5d82e,729.14,ddcacb66-6,London,835,75,0
da52f038-c05,2026-01-12 03:34:25.238588,b3e1cad8,563.16,df50b02f-9,Berlin,179,45,0
4fa49108-cf0,2026-01-12 03:43:38.238588,47bd6d26,107.53,b82a483b-b,Berlin,166,78,0
363a57a2-59b,2026-01-12 03:48:21.238588,ab57e5a3,728.08,811f6cf3-e,Tokyo,1033,42,0
063a8a21-66a,2026-01-12 03:57:07.238588,9d7db1c2,483.01,efe9936a-a,Singapore,2164,47,0
4d536251-ad8,2026-01-12 04:01:20.238588,b7713664,54.47,59f4f7b5-3,Singapore,2259,61,0
0f3adfbc-599,2026-01-12 04:01:22.238588,4a3a58ff,530.14,d308ffe0-4,Singapore,1800,62,0
002a4e3b-c4c,2026-01-12 04:04:23.238588,036c0bbb,899.74,8a451cbb-5,Tokyo,2080,68,0
12af1c2d-acc,2026-01-12 04:12:17.238588,1a114cbb,6103.69,7f959481-8,Singapore,20,52,1
538617c3-7a7,2026-01-12 04:13:26.238588,984ba8b9,442.55,cf09f508-3,New York,3193,58,0
6164f8ca-c12,2026-01-12 04:19:20.238588,c469a769,259.55,4378e0d9-8,London,214,52,0
54c0a83a-17e,2026-01-12 04:21:16.238588,8fc696de,263.22,ce107532-8,New York,2471,64,0
d58cf913-8b1,2026-01-12 04:25:19.238588,17c1a5db,69.46,fa1c2286-a,Berlin,3285,60,0
36fdb340-658,2026-01-12 04:30:55.238588,1ecb859a,71.97,6297bf95-d,Mumbai,463,52,0
96f651c6-4fa,2026-01-12 04:32:16.238588,335b8d65,659.42,33399fc3-1,San Francisco,3217,67,0
ee4f5d57-4a1,2026-01-12 04:36:01.238588,87f9b413,776.36,844c17c1-8,Sydney,3541,49,0
96a66d20-0d8,2026-01-12 04:38:25.238588,84c4bd90,1383.48,c5bf62b7-8,London,2228,74,0
ad1366ec-994,2026-01-12 04:43:01.238588,29179ccd,4043.09,de62e7f4-3,San Francisco,7,68,1
db49f446-726,2026-01-12 04:50:14.238588,30fbff0c,971.94,25be508e-3,Mumbai,1420,71,0
d503819b-593,2026-01-12 04:50:28.238588,a709dd2e,440.74,7158eb23-6,Mumbai,1209,55,0
a6df5e34-f0f,2026-01-12 04:51:43.238588,37f93e56,137.5,bf957f44-c,Tokyo,281,75,0
3254301f-21a,2026-01-12 05:11:52.238588,47bd6d26,2801.01,b82a483b-b,Sydney,2315,66,0
8f83fa15-df6,2026-01-12 05:16:41.238588,143c122d,103.93,172d9b92-6,Tokyo,2509,50,0
9bad6a0c-0b2,2026-01-12 05:28:34.238588,efc86078,688.2,ad1e8161-c,New York,1197,77,0
b3d350f7-217,2026-01-12 05:33:03.238588,5ff9648a,2394.18,b60a1fc8-2,London,3166,46,0
7ff3b47b-ed2,2026-01-12 05:33:31.238588,07efba8e,674.02,2863257e-5,San Francisco,2146,80,0
a01f2d5b-4ce,2026-01-12 05:34:00.238588,3d58c663,1745.09,d8d606ae-b,London,1471,67,0
45942a48-05e,2026-01-12 05:37:26.238588,2b10a70e,564.98,86d4e3bb-6,Sydney,3537,68,0
66ed40ba-142,2026-01-12 05:42:18.238588,3fa59fc9,545.4,f4685757-5,Sydney,718,69,0
d197a89b-ce5,2026-01-12 05:43:10.238588,6d6468b2,517.62,6d5d17cf-c,Tokyo,2918,50,0
7667bdcb-0ed,2026-01-12 05:57:47.238588,7b46d990,384.33,4767b0bd-2,Singapore,3555,50,0
9450d9eb-19b,2026-01-12 05:57:59.238588,90006404,890.06,2699c414-2,San Francisco,572,57,0
f0947509-cf9,2026-01-12 06:03:37.238588,19fec79a,502.62,ab1e1e43-f,Sydney,1865,58,0
